파일명,소분류1,점수1,소분류2,점수2,소분류3,점수3
국수_국수골목 연수점_1379.jpg,Open-air restaurant with ocean view,0.2047,Vine-covered courtyard dining area,0.2008,Modern minimalist restaurant architecture,0.1904
국수_국수골목 연수점_1380.jpg,Colorful awnings and hanging lanterns,0.256,Glass-fronted shop in urban setting,0.2533,Traditional European-style storefront,0.2517
국수_국수골목 연수점_1381.jpg,Open-air restaurant with ocean view,0.2221,Seaside terrace dining at sunset,0.2042,Rooftop restaurant with city skyline,0.1997
냉면_개롱골목냉면_393.jpg,Glass-walled restaurant overlooking mountains,0.2124,Traditional thatched roof dining pavilion,0.197,Modern minimalist restaurant architecture,0.1969
냉면_골목냉면 혜화점_405.jpg,Open-air restaurant with ocean view,0.2228,Glass-walled restaurant overlooking mountains,0.2198,Rooftop restaurant with city skyline,0.2112
냉면_골목냉면 혜화점_406.jpg,Vibrant market under hanging lanterns,0.2033,Early morning market street ambiance,0.2012,Colorful canopies over market stalls,0.1978
냉면_골목냉면 혜화점_407.jpg,Open-air restaurant with ocean view,0.2152,Glass-walled restaurant overlooking mountains,0.1899,Traditional thatched roof dining pavilion,0.1877
냉면_골목냉면_380.jpg,Busy intersection with iconic skyscrapers,0.2217,Twisting street through medieval village,0.2191,Golden roofed palace under clear sky,0.2123
냉면_깡통골목 원조비빔당면_1821.jpg,Vibrant market under hanging lanterns,0.2184,Gallery surrounded by lush landscapes,0.2164,Vast exhibition hall with paintings,0.2154
냉면_깡통골목 원조비빔당면_1822.jpg,Artisan crafts and woven baskets display,0.2435,Vibrant market under hanging lanterns,0.2411,Glass-fronted shop in urban setting,0.2318
냉면_수택골목냉면_906.jpg,Traditional thatched roof dining pavilion,0.2252,Rooftop restaurant with city skyline,0.2111,Colorful canopies over market stalls,0.206
냉면_수택골목냉면_907.jpg,Traditional European-style storefront,0.23,Modern minimalist restaurant architecture,0.2266,Open-air restaurant with ocean view,0.2256
도보여행_서서울호수공원 산책길_142.jpg,Blossoming cherry trees in spring,0.271,Seasonal flower beds in bloom,0.258,Lush forest with vibrant green canopy,0.2554
도보여행_서서울호수공원 산책길_143.jpg,Palace reflection in lotus pond,0.2308,Safari-themed landscape views,0.226,river delta with winding channels,0.2213
도시근린공원_광교호수공원_626.jpg,Tranquil Japanese garden design,0.2464,Seaside tower with panoramic vistas,0.2358,Bridges over gentle flowing streams,0.2327
도시근린공원_광교호수공원_627.jpg,Reflection of city skyline in water,0.288,Palace reflection in lotus pond,0.2763,Panoramic skyline from hilltop park,0.2709
도시근린공원_광교호수공원_628.jpg,Palace reflection in lotus pond,0.2395,Seaside tower with panoramic vistas,0.237,Reflection in surrounding water bodies,0.2327
도시근린공원_금광호수공원_652.jpg,Forested hills from wooden lookout,0.2427,Seaside tower with panoramic vistas,0.2412,Panoramic view from observation deck,0.2381
도시근린공원_기흥호수공원_647.jpg,Wide-angle view of stadium roof,0.2401,Panoramic view from stadium seats,0.2281,Skybridge connecting department stores,0.2164
도시근린공원_기흥호수공원_648.jpg,Historic gazebo amidst lush greenery,0.2648,Modern sculpture in open meadow,0.2591,Seasonal flower beds in bloom,0.2531
도시근린공원_기흥호수공원_649.jpg,Reflection in surrounding water bodies,0.243,river delta with winding channels,0.2399,ancient stone bridge over river,0.2383
도시근린공원_반월호수공원_656.jpg,Golden roofed palace under clear sky,0.2141,Treehouse observation decks,0.2133,Reflective glass and steel structure,0.2123
도시근린공원_반월호수공원_657.jpg,Iconic entrance gate with flags,0.2297,Golden roofed palace under clear sky,0.2164,Twinkling lights on amusement rides,0.2108
도시근린공원_반월호수공원_658.jpg,Japanese Zen garden with koi pond,0.2839,Bamboo forest surrounding secluded shrine,0.2756,Traditional wooden temple gate entrance,0.2716
도시근린공원_상동호수공원_632.jpg,Vibrant roller coaster tracks in motion,0.2493,Riverbank walking route,0.2417,Desert canyon pathway,0.2321
도시근린공원_상동호수공원_633.jpg,Seasonal flower beds in bloom,0.263,Fountain surrounded by seasonal flowers,0.254,Historic gazebo amidst lush greenery,0.2501
도시근린공원_상동호수공원_634.jpg,Modern sculpture in open meadow,0.2535,Giant water slide under blue sky,0.2423,Historic wooden roller coaster structure,0.237
도시근린공원_서서울호수공원_127.jpg,Serene pond with lily pads,0.2558,foggy river with wooden docks,0.2367,Historic gazebo amidst lush greenery,0.2361
도시근린공원_안산호수공원_638.jpg,Blossoming cherry trees in spring,0.3137,Majestic hall framed by cherry blossoms,0.3126,Seasonal flower beds in bloom,0.2615
도시근린공원_안산호수공원_639.jpg,Classic red velvet stage curtains,0.2461,Intricate floral floats in parade,0.1946,Grand entrance arch with festival banners,0.1941
도시근린공원_안산호수공원_640.jpg,Grand entrance arch with festival banners,0.2552,Traditional drumming stage backdrop,0.2463,Classic red velvet stage curtains,0.2438
도시근린공원_오남호수공원_653.jpg,Modern marina with luxury yachts,0.2513,Scenic riverbank with floating lanterns,0.2438,Harbor entrance with rocky breakwater,0.2386
도시근린공원_오남호수공원_655.jpg,Mountain-top observatory with panoramic view,0.2596,Forested hills from wooden lookout,0.2538,Cliffside coastal trail,0.2355
도시근린공원_옥정호수공원_660.jpg,Twinkling lights on amusement rides,0.2169,Grand entrance arch with festival banners,0.2141,Sky-high drop tower against clouds,0.2091
도시근린공원_옥정호수공원_661.jpg,Grand entrance arch with festival banners,0.1975,Sky filled with vibrant fireworks,0.1843,Decorative street flags fluttering,0.1739
도시근린공원_운정호수공원_635.jpg,Historic gazebo amidst lush greenery,0.2619,Bridges over gentle flowing streams,0.2589,Palace reflection in lotus pond,0.2443
도시근린공원_운정호수공원_637.jpg,Bridges over gentle flowing streams,0.2806,city skyline along riverfront,0.2466,river delta with winding channels,0.2417
도시근린공원_장자호수공원_641.jpg,Busy intersection with iconic skyscrapers,0.2323,Blossoming cherry trees in spring,0.2316,Historic street with stone facades,0.2294
도시근린공원_장자호수공원_642.jpg,Busy intersection with iconic skyscrapers,0.2882,Curved road with mountain backdrop,0.2328,Bridges over gentle flowing streams,0.2243
도시근린공원_장자호수공원_643.jpg,Busy intersection with iconic skyscrapers,0.2772,Panoramic skyline from hilltop park,0.2467,Curved road with mountain backdrop,0.2451
도시근린공원_청라호수공원_1107.jpg,Tranquil Japanese garden design,0.2626,Tropical greenhouse with exotic plants,0.2541,Victorian glasshouse with rare orchids,0.2518
도시근린공원_청라호수공원_1108.jpg,Colorful sailboats in calm waters,0.2442,Reflection of city skyline in water,0.2431,Modern marina with luxury yachts,0.2347
도시근린공원_청라호수공원_1109.jpg,Tranquil Japanese garden design,0.2572,Bamboo grove shaded pathway,0.2523,Twilight illumination and city lights,0.2471
도시근린공원_해오름호수공원_1110.jpg,sunset reflection on calm river,0.2616,Riverbank walking route,0.2478,city skyline along riverfront,0.2432
도시근린공원_해오름호수공원_1111.jpg,sunset reflection on calm river,0.2551,Serene pond with lily pads,0.2529,city skyline along riverfront,0.2441
도시근린공원_해오름호수공원_1112.jpg,Bridges over gentle flowing streams,0.268,Serene pond with lily pads,0.2548,Japanese Zen garden with koi pond,0.2511
등산정보_관악산 호수공원분기점_144.jpg,Interactive educational displays,0.2026,Aquatic exhibits with underwater tunnels,0.1904,Riverbank walking route,0.1898
등산정보_관악산 호수공원분기점_145.jpg,Riverbank walking route,0.2522,Cliffside coastal trail,0.2279,Interactive educational displays,0.225
등산정보_관악산 호수공원분기점_146.jpg,Ancient stone-paved route,0.2358,Riverbank walking route,0.229,Meandering forest path,0.2229
디저트카페_동양염전베이커리카페_1080.jpg,Palace reflection in lotus pond,0.2288,Reflection of city skyline in water,0.2233,Industrial cranes at busy shipyard,0.218
디저트카페_동양염전베이커리카페_1081.jpg,Sunlit window display with pastries,0.209,Outdoor seating with quaint tables,0.2019,Traditional architecture with mountain backdrop,0.1996
디저트카페_동양염전베이커리카페_1082.jpg,Vine-covered courtyard dining area,0.2938,Alfresco seating under string lights,0.266,Seasonal flower beds in bloom,0.2595
디저트카페_마롱브런치&베이커리카페_495.jpg,Retro drive-in theater setting,0.279,Open-air restaurant with ocean view,0.2616,Rooftop movie screen under stars,0.2544
디저트카페_마롱브런치&베이커리카페_496.jpg,Historical building with ornate facade,0.2376,Glass-walled restaurant overlooking mountains,0.2343,Modern minimalist restaurant architecture,0.2335
디저트카페_바다와풍경_490.jpg,Grand entrance arch with festival banners,0.2142,Golden roofed palace under clear sky,0.208,Palace reflection in lotus pond,0.2017
디저트카페_바다와풍경_491.jpg,Colorful sailboats in calm waters,0.3236,Fishing boats anchored at dusk,0.2582,Harbor entrance with rocky breakwater,0.2511
디저트카페_보스커피&브런치_12.jpg,Pub garden surrounded by lush greenery,0.2173,Glass-walled restaurant overlooking mountains,0.2095,Open-air restaurant with ocean view,0.2085
디저트카페_브런치카페 이엘_1507.jpg,Sunlit alley with colorful hanging lanterns,0.2282,Pub garden surrounded by lush greenery,0.2242,Riverside pub with scenic water views,0.2222
디저트카페_브룩스_1543.jpg,Minimalist modern water feature,0.2583,Minimalist gallery with geometric design,0.2284,Reflection pool with bronze spouts,0.2237
디저트카페_빠르끄 풍동본점_575.jpg,Early morning market street ambiance,0.1973,Vibrant market under hanging lanterns,0.1925,Open-air restaurant with ocean view,0.1919
디저트카페_빠르끄 풍동본점_576.jpg,Open-air restaurant with ocean view,0.2211,Early morning market street ambiance,0.2002,Glass-walled restaurant overlooking mountains,0.1946
디저트카페_빠르끄 풍동본점_577.jpg,Open-air restaurant with ocean view,0.1955,Outdoor seating with quaint tables,0.1923,Traditional European-style storefront,0.1922
디저트카페_스타골목커피_1397.jpg,Grand entrance arch with festival banners,0.221,Sky-high drop tower against clouds,0.2046,Twinkling lights on amusement rides,0.1935
디저트카페_스타골목커피_1398.jpg,Grand entrance arch with festival banners,0.2717,Sky-high drop tower against clouds,0.223,Golden roofed palace under clear sky,0.206
디저트카페_스타골목커피_1399.jpg,Lush forest with vibrant green canopy,0.253,Tropical greenhouse with exotic plants,0.2362,Alpine rock garden with waterfall,0.231
디저트카페_어로프슬라이스피스_551.jpg,Sunlit window display with pastries,0.2138,Wooden shutters and flower boxes,0.2033,Outdoor seating with quaint tables,0.1944
디저트카페_어로프슬라이스피스_552.jpg,Weathered market signs and banners,0.2556,Rustic wooden market architecture,0.2377,Colorful awnings and hanging lanterns,0.2308
디저트카페_어로프슬라이스피스_553.jpg,Outdoor seating with quaint tables,0.2246,Charming exterior with vintage signage,0.219,Open-air restaurant with ocean view,0.2176
디저트카페_에테르_1476.jpg,Open-air restaurant with ocean view,0.2747,Seaside tower with panoramic vistas,0.2591,Glass-walled restaurant overlooking mountains,0.2574
디저트카페_우즈베이커리_1559.jpg,Open-air restaurant with ocean view,0.2373,Outdoor seating with quaint tables,0.216,Glass-walled restaurant overlooking mountains,0.2079
디저트카페_우즈베이커리카페 수성호수점_1930.jpg,Sunlit window display with pastries,0.2608,Seasonal window display decorations,0.231,Glass-fronted shop in urban setting,0.2183
디저트카페_우즈베이커리카페 수성호수점_1931.jpg,Gallery with expansive skylights,0.2648,Glass atrium with skylight ceiling,0.2605,Interior courtyard with natural light,0.2592
디저트카페_이진상회_545.jpg,Glass-walled restaurant overlooking mountains,0.2944,Open-air restaurant with ocean view,0.2931,Traditional architecture with mountain backdrop,0.2531
디저트카페_이진상회_546.jpg,Traditional wooden temple gate entrance,0.2585,Grand entrance with ornamental pillars,0.2525,Lotus pond reflecting temple facade,0.2434
디저트카페_이진상회_547.jpg,Traditional thatched roof dining pavilion,0.2851,Glass-walled restaurant overlooking mountains,0.2664,Courtyard view with stone pathways,0.2584
디저트카페_인스퍼레이션디 동촌유원지점_1950.jpg,Charming exterior with vintage signage,0.2557,Modern minimalist restaurant architecture,0.2555,Glass-fronted shop in urban setting,0.2522
디저트카페_인스퍼레이션디 동촌유원지점_1951.jpg,Open-air restaurant with ocean view,0.2833,Rooftop restaurant with city skyline,0.2699,Seaside terrace dining at sunset,0.2694
디저트카페_초이스엠_1944.jpg,Glass-fronted shop in urban setting,0.2642,Modern minimalist restaurant architecture,0.2531,Open-air restaurant with ocean view,0.2418
디저트카페_초이스엠_1945.jpg,Sunlit window display with pastries,0.2591,Seasonal window display decorations,0.2279,Artisan crafts and woven baskets display,0.2188
디저트카페_초이스엠_1946.jpg,Stadium against mountain backdrop,0.2701,Retro drive-in theater setting,0.2447,Stadium entrance framed by trees,0.2442
디저트카페_카페 레드브리끄_478.jpg,Nighttime exterior with neon lights,0.2676,Modern multiplex exterior at dusk,0.2615,Retro drive-in theater setting,0.2561
디저트카페_토지베이커리브런치카페_499.jpg,Alfresco seating under string lights,0.2064,Modern minimalist restaurant architecture,0.2043,Open-air restaurant with ocean view,0.2034
디저트카페_토지베이커리브런치카페_500.jpg,Open-air restaurant with ocean view,0.2181,Glass-walled restaurant overlooking mountains,0.2118,Modern minimalist restaurant architecture,0.2082
디저트카페_포레스트아웃팅스 송도점_1062.jpg,Seasonal window display decorations,0.2782,Glass atrium with skylight ceiling,0.2781,Tropical greenhouse with exotic plants,0.2551
디저트카페_포레스트아웃팅스 송도점_1063.jpg,Grand entrance arch with festival banners,0.2252,Misty forest with dense fog,0.2209,Intricate floral floats in parade,0.218
디저트카페_프릳츠 도화점_52.jpg,Open-air restaurant with ocean view,0.2825,Rooftop restaurant with city skyline,0.2784,Glass-walled restaurant overlooking mountains,0.2629
디저트카페_프릳츠 도화점_53.jpg,Charming exterior with vintage signage,0.2432,Open-air restaurant with ocean view,0.2213,Traditional European-style storefront,0.22
디저트카페_프릳츠 도화점_54.jpg,Interactive educational displays,0.2046,Artistic animal habitat structures,0.1966,Open-air restaurant with ocean view,0.1881
떡볶이_골목떡볶이_367.jpg,Market square with cobblestone paths,0.2423,Narrow lane with colorful murals,0.241,Twisting street through medieval village,0.2368
"릉,묘,총_김포장릉_790.jpg",Pathway through a bamboo forest,0.2937,Meandering forest path,0.2856,Bridge crossing scenic trail,0.2841
"릉,묘,총_동구릉_770.jpg",Historic stone fountain centerpiece,0.2526,Traditional wooden temple gate entrance,0.2463,Tiered fountain with floral motifs,0.2449
"릉,묘,총_동구릉_771.jpg",Bamboo forest surrounding secluded shrine,0.2569,Traditional architecture with mountain backdrop,0.2454,Traditional wooden temple gate entrance,0.2443
"릉,묘,총_동구릉_772.jpg",Golden Buddha statue in lush garden,0.2535,Stone lanterns lining temple pathway,0.2524,Traditional wooden temple gate entrance,0.2458
"릉,묘,총_서오릉_773.jpg",Traditional wooden temple gate entrance,0.3044,Open-air amphitheater under moonlight,0.2811,Temple courtyard with ancient bells,0.2705
"릉,묘,총_서오릉_774.jpg",Traditional wooden temple gate entrance,0.3062,Bamboo forest surrounding secluded shrine,0.276,Grand entrance with ornamental pillars,0.27
"릉,묘,총_서오릉_775.jpg",Pathway through a bamboo forest,0.2909,Meandering forest path,0.2866,Bridge crossing scenic trail,0.2714
"릉,묘,총_서울선릉과정릉_259.jpg",Aerial view of stadium landscape,0.2467,Golden roofed palace under clear sky,0.2467,Stadium against mountain backdrop,0.2415
"릉,묘,총_서울선릉과정릉_260.jpg",Architectural details of gallery entrance,0.2428,Outdoor sculpture garden with pathways,0.242,Art gallery with contemporary facade,0.2381
"릉,묘,총_서울선릉과정릉_261.jpg",Tranquil Japanese garden design,0.2525,Sculpted topiary garden maze,0.2444,Bamboo grove shaded pathway,0.2347
"릉,묘,총_연산동고분군_1710.jpg",Panoramic skyline from hilltop park,0.2326,Tranquil Japanese garden design,0.2303,Golden roofed palace under clear sky,0.2245
"릉,묘,총_연산동고분군_1711.jpg",Dome ceiling with intricate mosaics,0.2325,Architectural details of facade frieze,0.2196,Architectural details of gallery entrance,0.219
"릉,묘,총_연산동고분군_1712.jpg",Bamboo forest surrounding secluded shrine,0.247,Gabled rooftops against autumn foliage,0.2457,Traditional architecture with mountain backdrop,0.2283
"릉,묘,총_영녕릉 세종대왕유적지구 세종대왕릉_786.jpg",Classic red velvet stage curtains,0.2272,Modern minimalist stage design,0.2119,Lush forest with vibrant green canopy,0.201
"릉,묘,총_화성융릉과건릉_776.jpg",Meandering forest path,0.2633,Sculpted topiary garden maze,0.2469,Lush jungle pathway,0.2462
"릉,묘,총_화성융릉과건릉_777.jpg",Vast exhibition hall with paintings,0.2576,Wide-angle view of museum courtyard,0.2499,Gallery surrounded by lush landscapes,0.2364
"릉,묘,총_화성융릉과건릉_778.jpg",Reflection pool mirroring museum facade,0.2355,Architectural details of gallery entrance,0.209,Vast exhibition hall with paintings,0.2084
문_광화문_247.jpg,Skybridge connecting department stores,0.2141,Golden roofed palace under clear sky,0.2061,Busy intersection with iconic skyscrapers,0.2045
문_광화문_248.jpg,Quiet market corners with old signage,0.1913,Early morning market street ambiance,0.1884,Market square with cobblestone paths,0.1829
문_광화문_249.jpg,Synchronized fountains in city square,0.2497,Seaside tower with panoramic vistas,0.2461,Minimalist modern water feature,0.2434
문_금정산성 남문_1696.jpg,Traditional wooden temple gate entrance,0.324,Stone lanterns lining temple pathway,0.2761,Ornate gate with intricate carvings,0.2706
문_독립문_270.jpg,Ornate gate with intricate carvings,0.2586,Golden roofed palace under clear sky,0.2544,Grand entrance with ornamental pillars,0.2531
문_독립문_271.jpg,Classic red velvet stage curtains,0.244,Modern minimalist stage design,0.2415,Vast exhibition hall with paintings,0.2311
문_독립문_272.jpg,Elaborate palace gates with wrought iron,0.2613,Grand facade with ornamental detailing,0.2543,Rustic wooden market architecture,0.2503
문_수원화성 장안문_782.jpg,Traditional architecture with mountain backdrop,0.2471,Courtyard view with stone pathways,0.2399,Meandering forest path,0.2373
문_수원화성 장안문_783.jpg,Traditional architecture with mountain backdrop,0.2735,Traditional architecture with mountain backdrop,0.2735,Elaborate palace gates with wrought iron,0.2681
문_수원화성 장안문_784.jpg,Grand entrance arch with festival banners,0.2287,Vibrant roller coaster tracks in motion,0.2196,Panoramic view from observation deck,0.2139
문_수원화성 팔달문_794.jpg,Traditional architecture with mountain backdrop,0.2327,Historic street with stone facades,0.2298,Outdoor market by historic city walls,0.2286
문_수원화성 팔달문_795.jpg,Grand entrance arch with festival banners,0.2742,Traditional wooden temple gate entrance,0.2628,Traditional architecture with mountain backdrop,0.2577
문_수원화성 팔달문_796.jpg,Night view with illuminated architecture,0.2668,Golden roofed palace under clear sky,0.2528,Outdoor market by historic city walls,0.2501
문_숭례문_253.jpg,Palace reflection in lotus pond,0.2643,Palace reflection in lotus pond,0.2643,Majestic throne room with vaulted ceilings,0.2572
문_숭례문_254.jpg,Illuminated fountain at twilight,0.25,Synchronized fountains in city square,0.2491,Modern sculpture in open meadow,0.2367
문_숭례문_255.jpg,Tranquil Japanese garden design,0.2713,Courtyard view with stone pathways,0.2617,Japanese Zen garden with koi pond,0.2608
문_홍예문_1262.jpg,Twisting alley with ivy-covered archways,0.2306,Narrow cobblestone alley with stone walls,0.2258,Ancient stone-paved route,0.2226
문_홍예문_1264.jpg,Twisting alley with ivy-covered archways,0.2924,Narrow cobblestone alley with stone walls,0.2641,Alpine rock garden with waterfall,0.2524
문_흥인지문_257.jpg,Ornate baroque fountain in plaza,0.2886,Synchronized fountains in city square,0.2683,Tiered fountain with floral motifs,0.2538
문_흥인지문_258.jpg,Traditional architecture with mountain backdrop,0.2272,Rustic wooden market architecture,0.2054,Golden roofed palace under clear sky,0.2047
문화유적_고려궁지_1230.jpg,Traditional wooden temple gate entrance,0.3041,Stone lanterns lining temple pathway,0.2825,Grand entrance with ornamental pillars,0.2814
문화유적_고려궁지_1231.jpg,Temple courtyard with ancient bells,0.3032,Bamboo forest surrounding secluded shrine,0.2759,Traditional wooden temple gate entrance,0.2689
문화유적_고려궁지_1232.jpg,Traditional wooden temple gate entrance,0.3158,Ornate gate with intricate carvings,0.288,Temple courtyard with ancient bells,0.2808
문화유적_서울암사동유적_273.jpg,Sunlit window display with pastries,0.2561,Artisan crafts and woven baskets display,0.2416,Glass-fronted shop in urban setting,0.2329
문화유적_서울암사동유적_274.jpg,Modern minimalist stage design,0.1792,Classic red velvet stage curtains,0.1789,Vast exhibition hall with paintings,0.1788
문화유적_서울암사동유적_275.jpg,Bamboo grove shaded pathway,0.2316,Pathway through a bamboo forest,0.2205,Lush forest with vibrant green canopy,0.2101
문화유적_석파정_263.jpg,Modern minimalist restaurant architecture,0.2393,Temple courtyard with ancient bells,0.2294,Wide-angle view of museum courtyard,0.2272
문화유적_연미정_1226.jpg,Courtyard view with stone pathways,0.2588,Alpine rock garden with waterfall,0.2508,Traditional architecture with mountain backdrop,0.2421
문화유적_외양포진지_1701.jpg,Aquatic exhibits with underwater tunnels,0.2355,Interactive educational displays,0.2318,Naturalistic rock formations and waterfalls,0.2285
문화유적_외양포진지_1702.jpg,Outdoor seating with quaint tables,0.2451,Charming exterior with vintage signage,0.2444,Iconic entrance gate with flags,0.2402
문화유적_외양포진지_1703.jpg,Interactive educational displays,0.238,Reflection pool mirroring museum facade,0.2301,Aquatic exhibits with underwater tunnels,0.2291
문화유적_원인재_1247.jpg,Traditional wooden temple gate entrance,0.2894,Traditional architecture with mountain backdrop,0.2813,Temple courtyard with ancient bells,0.2787
문화유적_원인재_1248.jpg,Vibrant market under hanging lanterns,0.2263,Open-air restaurant with ocean view,0.2256,Vine-covered courtyard dining area,0.2236
문화유적_원인재_1249.jpg,Traditional architecture with mountain backdrop,0.2802,Traditional architecture with mountain backdrop,0.2802,Traditional wooden temple gate entrance,0.2708
문화유적_장수동 은행나무_1236.jpg,Autumn leaves carpeted walking trail,0.2373,Blossoming cherry trees in spring,0.2214,Seasonal flower beds in bloom,0.2152
문화유적_장수동 은행나무_1238.jpg,Bridges over gentle flowing streams,0.238,Historic gazebo amidst lush greenery,0.2323,Blossoming cherry trees in spring,0.2173
문화유적_정약용유적지_791.jpg,Sky-high drop tower against clouds,0.2291,Panoramic view from observation deck,0.2258,Iconic entrance gate with flags,0.224
문화유적_정약용유적지_792.jpg,Traditional wooden temple gate entrance,0.2362,Bamboo forest surrounding secluded shrine,0.2358,Traditional drumming stage backdrop,0.2149
문화유적_정약용유적지_793.jpg,Stadium against mountain backdrop,0.2426,Stadium entrance framed by trees,0.2391,Historic gazebo amidst lush greenery,0.2386
문화유적_충렬사_1680.jpg,Traditional wooden temple gate entrance,0.2837,Temple courtyard with ancient bells,0.2759,Traditional architecture with mountain backdrop,0.2735
문화유적_충렬사_1681.jpg,Traditional wooden temple gate entrance,0.2831,Grand entrance with ornamental pillars,0.2785,Historical building with ornate facade,0.2651
문화유적_충렬사_1682.jpg,Bamboo forest surrounding secluded shrine,0.2731,Traditional architecture with mountain backdrop,0.2719,Traditional wooden temple gate entrance,0.2659
문화유적_해월정_1700.jpg,Riverside gallery with reflection views,0.2049,Treehouse observation decks,0.2006,Rain-soaked street reflecting neon lights,0.1975
미술관_가나아트파크_696.jpg,Interactive educational displays,0.2435,Safari-themed landscape views,0.2265,Artistic animal habitat structures,0.2242
미술관_가나아트파크_697.jpg,Vast exhibition hall with paintings,0.2161,Gallery surrounded by lush landscapes,0.2121,Dome ceiling with intricate mosaics,0.1941
